function_id,status,severity,as_of,excel_builds_judged,rows_judged,rows_agree,worst_ulp,exact_domain_note,kernel_story_ref,blocked_by,evidence_refs
FUNC.CONVERT,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),44607,44607,0,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); conflict: July map said divergent, stock take says consistent; stock take wins; 10,418 + 34,189; characterized-candidate",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.CORREL,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COS,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),2561,2561,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; characterized-candidate",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COSH,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),40,40,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COT,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),10,10,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; small corpus",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COTH,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),28,28,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; small corpus",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COUNT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COUNTA,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COUNTBLANK,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COUNTIF,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.COUNTIFS,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.COUPDAYBS,consistent,,2026-09-25,20430,4084,4084,0,"W111 G8-08 schedule fix (coupon dates from maturity), two fresh corpora + July b37 battery: 4084/4084 on build 20430, all rows agree; was divergent/gross; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1504/1512, misses {'gross': 8}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; 6x1060 Handbook captures, no judgement (W111-5)",,,docs/function-lane/evidence/w111-g8-coup-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COUPDAYS,divergent,gross,2026-09-25,20430,4084,4034,211106232532992,"W111 G8-08 schedule fix (coupon dates from maturity), two fresh corpora + July b37 battery: 4034/4084 on build 20430, misses {'gross': 50}; was divergent/gross; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1464/1512, misses {'gross': 48}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; 6x1060 Handbook captures, no judgement (W111-5)",,,docs/function-lane/evidence/w111-g8-coup-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COUPDAYSNC,divergent,gross,2026-09-25,20430,4084,4074,10696049115004928,"W111 G8-08 schedule fix (coupon dates from maturity), two fresh corpora + July b37 battery: 4074/4084 on build 20430, misses {'gross': 10}; was divergent/gross; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1503/1512, misses {'gross': 9}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; 6x1060 Handbook captures, no judgement (W111-5)",,,docs/function-lane/evidence/w111-g8-coup-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COUPNCD,consistent,,2026-09-25,20430,4084,4084,0,"W111 G8-08 schedule fix (coupon dates from maturity), two fresh corpora + July b37 battery: 4084/4084 on build 20430, all rows agree; was divergent/gross; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1500/1512, misses {'gross': 12}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; 6x1060 Handbook captures, no judgement (W111-5)",,,docs/function-lane/evidence/w111-g8-coup-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COUPNUM,divergent,structural,2026-09-25,20430,4084,4082,,"W111 G8-08 schedule fix (coupon dates from maturity), two fresh corpora + July b37 battery: 4082/4084 on build 20430, misses {'structural': 2}; was divergent/structural; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1511/1512, misses {'structural': 1}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; 6x1060 Handbook captures, no judgement (W111-5)",,,docs/function-lane/evidence/w111-g8-coup-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COUPPCD,consistent,,2026-09-25,20430,4084,4084,0,"W111 G8-08 schedule fix (coupon dates from maturity), two fresh corpora + July b37 battery: 4084/4084 on build 20430, all rows agree; was divergent/gross; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1496/1512, misses {'gross': 16}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; 6x1060 Handbook captures, no judgement (W111-5)",,,docs/function-lane/evidence/w111-g8-coup-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COVAR,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COVARIANCE.P,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COVARIANCE.S,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CRITBINOM,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CSC,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),8,8,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; small corpus",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.CSCH,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),5,5,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; small corpus",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.CUMIPMT,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: consistent below, open catalog row G6-01 above; catalog wins; catalog G6-01: expm1 |tau|<1 double-rounding wall; live PMT 10,801/13,752",,wall:pmt-expm1,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G6-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CUMPRINC,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); catalog G6-07: shipping 90/540; hidden per-period principal",,wall:pmt-expm1,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G6-07;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.DATE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DATEDIF,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DATEVALUE,unverified,,,,,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: July map said consistent, stock take says unverified; stock take wins; Cat-1 locale seam; July runs returned #VALUE! at the seam (TEXT 0/78); judge under a pinned locale (W111-11)",,harness:locale,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.DAVERAGE,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DAY,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DAYS,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DAYS360,consistent,,2026-09-25,20430,3066,3066,0,"W111 G8-09 fix (Excel 1900 Feb 29 is the month end), two fresh corpora + 60-row 1900 probe: 3066/3066 on build 20430, all rows agree; was divergent/gross; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1502/1503, misses {'gross': 1}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; W111-5",,,docs/function-lane/evidence/w111-g8-days360-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.DB,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DBCS,unverified,,,,,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: July map said consistent, stock take says unverified; stock take wins; Cat-1 locale seam; July runs returned #VALUE! at the seam (TEXT 0/78); judge under a pinned locale (W111-11)",,harness:locale,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.DCOUNT,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DCOUNTA,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DDB,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DEC2BIN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DEC2HEX,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DEC2OCT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DECIMAL,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.DEGREES,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DELTA,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.DEVSQ,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DGET,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DISC,divergent,numeric,2026-09-25,20430,2400,1555,10,"W111 G8-05 YEARFRAC basis-1 fix and first live judging of the shared day-count users, two fresh corpora: 1555/2400 on build 20430, misses {'last_bit': 844, 'numeric': 1}; was consistent; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,docs/function-lane/evidence/w111-g8-yearfrac-20260925/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DMAX,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DMIN,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DOLLAR,unverified,,,,,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: July map said consistent, stock take says unverified; stock take wins; Cat-1 locale seam; July runs returned #VALUE! at the seam (TEXT 0/78); judge under a pinned locale (W111-11)",,harness:locale,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.DOLLARDE,consistent,,2026-09-25,20430,2412,2412,0,"W111 G8-01/02/03 fixes, two fresh corpora (seeds 20260924, 20260925): 2412/2412 on build 20430, all rows agree; was divergent/gross; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 848/1206, misses {'gross': 358}; was unverified; earlier: July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: July map said consistent, stock take says unverified; stock take wins; W111-5",,,docs/function-lane/evidence/w111-g8-dollar-tbill-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.DOLLARFR,consistent,,2026-09-25,20430,2412,2412,0,"W111 G8-01/02/03 fixes, two fresh corpora (seeds 20260924, 20260925): 2412/2412 on build 20430, all rows agree; was unverified; earlier: July structural_bug_open via BUG-FUNC-018; streams now validated_local (fix not re-judged live): re-judge in W111-6",,,docs/function-lane/evidence/w111-g8-dollar-tbill-20260925/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-018
FUNC.DPRODUCT,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DROP,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.DSTDEV,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DSTDEVP,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DSUM,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DURATION,divergent,last_bit,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,3,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: consistent below, open catalog row G6-03c above; catalog wins; catalog G6-03c: 237/264, max 3 ULP; accumulator graph",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G6-03c
FUNC.DVAR,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.DVARP,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.EDATE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.EFFECT,consistent,,2026-08-20,pre-20430 (20026..20326; per-row build in evidence),160,160,0,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ENCODEURL,unverified,,,,,,,July deferred; in scope unless CUBE*/WEBSERVICE/STOCKHISTORY,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#deferred
FUNC.EOMONTH,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.ERF,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: consistent below, open catalog row G4-04 above; catalog wins; catalog G4-04: COMBIN/COMBINA closed out of this row; ERF small-z production max 3 ULP, ERFC mid band best 2389/7741",,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G4-04;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.ERF.PRECISE,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: consistent below, open catalog row G4-04 above; catalog wins; catalog G4-04: COMBIN/COMBINA closed out of this row; ERF small-z production max 3 ULP, ERFC mid band best 2389/7741",,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G4-04;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.ERFC,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: consistent below, open catalog row G4-04 above; catalog wins; catalog G4-04: COMBIN/COMBINA closed out of this row; ERF small-z production max 3 ULP, ERFC mid band best 2389/7741",,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G4-04;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.ERFC.PRECISE,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: consistent below, open catalog row G4-04 above; catalog wins; catalog G4-04: COMBIN/COMBINA closed out of this row; ERF small-z production max 3 ULP, ERFC mid band best 2389/7741",,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G4-04;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.ERROR.TYPE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.EUROCONVERT,unverified,,,,,,,July deferred; in scope unless CUBE*/WEBSERVICE/STOCKHISTORY,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#deferred
FUNC.EVEN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.EXACT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.EXP,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),249,249,0,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); x87 CRT chain; 36 near-midpoint witnesses; characterized-candidate",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.EXPAND,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.EXPON.DIST,consistent,,2026-07-20,pre-20430 (20026..20326; per-row build in evidence),4000,4000,0,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); held-out",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
